key,code,moment,startTimeDuration,finishTimeDuration,amount,type,contact,link,draftMode,key:project,key:sponsor
sponsorship-11,AA-000,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-12,AA-001,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-13,AA-002,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-14,MN-000,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-15,MO-314,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-16,PQ-674,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-17,RS-850,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-18,ZZ-997,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-19,ZZ-998,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-20,ZZ-999,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-21,AAA-000,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-22,AAA-001,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-23,AAA-002,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-24,ZZZ-997,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-25,ZZZ-998,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-26,ZZZ-999,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-27,ABC-123,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-28,NOV-387,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-29,IFR-147,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-30,A-789,2022/07/30 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-31,ZY-998,2022/07/29 23:59,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-32,MCT-356,2022/07/29 23:59,2022/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-33,MCT-357,2022/07/30 00:00,2022/08/06 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-34,MCT-358,2018/12/31 23:59,2022/08/06 00:01,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-35,MCT-359,2017/10/07 10:15,2023/08/30 01:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-36,MCT-360,2000/01/01 00:01,2200/12/31 23:59,2035/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-37,MCT-361,2003/01/24 14:56,2200/07/30 23:58,2023/08/30 00:01,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-38,MCT-362,2006/04/28 14:27,2023/07/30 00:00,2023/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-39,MCT-363,2008/06/30 16:06,2023/07/30 00:00,2023/09/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-40,MCT-364,2010/08/30 22:40,2023/07/30 00:00,2035/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-41,MCT-365,2022/07/14 22:40,2022/07/15 00:00,2022/08/15 00:00,10000.00 EUR,INKIND,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-42,MCT-366,2021/09/20 00:00,2022/07/14 00:00,2022/08/15 00:01,10000.00 EUR,FINANCIAL,wuani@acme.es,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-43,MCT-367,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.fr,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-44,MCT-368,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@hotmail.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-45,MCT-369,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@gmail.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-46,MCT-370,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuanielmasgraciosodetodos@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-47,MCT-371,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,999999.99 EUR,FINANCIAL,,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-48,MCT-372,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,null,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-49,MCT-373,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,null,true,project-01,sponsor-01
sponsorship-50,MCT-374,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,,true,project-01,sponsor-01
sponsorship-51,MCT-375,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.google.com/search?q=url+de+254+caracteres&sca_esv=373b249675fd824a&sxsrf=ACQVn0_BaglrVRDQoGxu2gltIl7r6rpopg%3A1709827582366&ei=_uXpZdXbFb2B9u8PvPSw2AI&ved=0ahUKEwjV0rGNxOKEAxW9gP0HHTw6DCsQ4dUDCBA&uact=5&oq=url+de+254+caracteres&gs_lp=Egxnd3Mt,true,project-01,sponsor-01
sponsorship-52,MCT-376,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3Aignblabla,true,project-01,sponsor-01
sponsorship-53,MCT-377,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-02,sponsor-01
sponsorship-54,MCT-378,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-03,sponsor-01
sponsorship-55,MCT-379,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,11.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,false,project-01,sponsor-01
sponsorship-56,MCT-380,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,11.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-57,MCT-381,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-02
sponsorship-58,MCT-382,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://a,true,project-03,sponsor-01
sponsorship-59,MCT-383,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://a.b,true,project-03,sponsor-01
sponsorship-60,MCT-384,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,http://www.lorem-ipsum.org/dolor/sit/amet;/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,true,project-03,sponsor-01
sponsorship-61,MCT-385,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,http://www.lorem-ipsum.org/dolor/sit/amet;/consectetur/adipiscing/eli;/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/XY,true,project-03,sponsor-01
sponsorship-62,MCT-386,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,ftp://www.sponsorship1.es/,true,project-03,sponsor-01
sponsorship-63,MCT-387,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,http://example.org?a=1&b=2,true,project-03,sponsor-01
sponsorship-64,MCT-388,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,http://example.org?a,true,project-03,sponsor-01
sponsorship-65,MCT-389,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,http://example.org?,true,project-03,sponsor-01
sponsorship-66,MCT-390,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,http://example.org?a&b,true,project-03,sponsor-01
sponsorship-67,MCT-391,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,http://example.org/a/b?a&b,true,project-03,sponsor-01
sponsorship-68,MCT-395,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,a@b.esx,https://www.sponsorship1.es/,true,project-03,sponsor-01
sponsorship-69,MCT-396,2021/09/20 00:00,2023/07/30 00:00,2025/08/30 01:00,1000000.00 EUR,FINANCIAL,null,https://www.sponsorship1.es/,true,project-01,sponsor-03
